load_scale,algorithm,n_seeds,utility_mean_pval_vs_MAAN_PPO,utility_mean_delta_vs_MAAN_PPO,qos_success_pval_vs_MAAN_PPO,qos_success_delta_vs_MAAN_PPO,delay_mean_pval_vs_MAAN_PPO,delay_mean_delta_vs_MAAN_PPO,utility_mean_padj_vs_MAAN_PPO,qos_success_padj_vs_MAAN_PPO,delay_mean_padj_vs_MAAN_PPO
0.8,Independent_MAPPO_PPO,6,0.9103494110361936,0.0031459886704205964,0.354973205840019,0.006888888888888944,0.48274159903462976,0.0008434009922262363,1.0,1.0,1.0
0.8,C_ADMM,6,7.99031240121895e-05,-0.26408036940623425,5.017072101656521e-07,-0.11644444444444446,1.6443982211656204e-05,-0.07617356398842859,0.0007191281161097055,8.529022572816086e-06,0.00016443982211656206
0.8,Static_Greedy,6,1.3719455085874713e-08,1.750231841691515,5.985668202289376e-06,0.1548888888888889,5.455841466554681e-08,-0.361595155487639,2.4695019154574484e-07,7.182801842747251e-05,8.72934634648749e-07
0.8,OGD_Bandit,6,3.050856916011098e-05,1.5668162576552165,1.6936861081712944e-06,0.29144444444444445,1.2762741639406567e-05,-0.39474323119888505,0.00033559426076122076,2.5405291622569417e-05,0.00014039015803347224
1.0,Independent_MAPPO_PPO,6,0.8942430749345109,0.0018086116880591252,0.8995949940204092,-0.0005555555555554204,0.8412816169287441,-0.00039215444912866354,1.0,1.0,1.0
1.0,C_ADMM,6,5.899437603753488e-07,-0.2966494065509922,6.46930605804362e-07,-0.12555555555555542,1.391944936218662e-08,-0.10868689598176698,8.84915640563023e-06,1.0350889692869792e-05,2.3663063915717253e-07
1.0,Static_Greedy,6,4.837465490484186e-09,1.8808081105292014,7.219295126027387e-08,0.20455555555555566,5.387760141845204e-10,-0.46735383223234656,9.191184431919953e-08,1.3716660739452036e-06,1.0775520283690408e-08
1.0,OGD_Bandit,6,4.093431408933771e-05,1.4761869607529259,0.0001528905243454326,0.23722222222222228,0.00020521648187853692,-0.3485028124082625,0.0004093431408933771,0.001070233670418028,0.0012409898611347402
1.2,Independent_MAPPO_PPO,6,0.9972838517606628,9.969912351870391e-05,0.5279512688257366,-0.003444444444444583,0.9256385869333651,-0.0005518016927416949,1.0,1.0,1.0
1.2,C_ADMM,6,0.00017246497491040213,-0.3431019188165428,1.9312773396195597e-05,-0.11222222222222233,1.781665214422501e-05,-0.10107753058128799,0.0010347898494624127,0.00021244050735815158,0.00016443982211656206
1.2,Static_Greedy,6,3.243870597302941e-08,1.833130226823366,2.4042377030087057e-06,0.23033333333333322,8.289826385938144e-08,-0.4854103565558715,5.190192955684705e-07,3.365932784212188e-05,1.2434739578907215e-06
1.2,OGD_Bandit,6,8.051561697536053e-05,1.4101394557465776,0.00024042519571033073,0.2518888888888889,0.00017728426587639145,-0.3837042331327643,0.0007191281161097055,0.0014425511742619844,0.0012409898611347402
1.4,Independent_MAPPO_PPO,6,0.0534648835346105,0.05272745741575238,0.15767381189399846,0.010333333333333306,0.19611973792965343,-0.007285896193292993,0.2673244176730525,0.7883690594699923,0.9805986896482671
1.4,C_ADMM,6,4.394174611715724e-06,-0.3800929513788842,5.469743577807142e-06,-0.10144444444444445,5.807689989373933e-06,-0.08254824378904142,5.712426995230441e-05,7.110666651149285e-05,8.130765985123507e-05
1.4,Static_Greedy,6,2.8548906947180606e-09,1.8916629381036156,1.3272845165121638e-08,0.2708888888888889,2.1800340362615256e-09,-0.5349677754607345,5.7097813894361214e-08,2.654569033024328e-07,4.1420646688968986e-08
1.4,OGD_Bandit,6,1.255988901380658e-05,1.5498512841435803,2.1667525632630562e-05,0.3068888888888889,1.0544763794907554e-05,-0.47936746033659466,0.00015071866816567894,0.0002166752563263056,0.00012653716553889064
1.6,Independent_MAPPO_PPO,6,0.6433371634890744,0.016510266682719772,0.566313533525521,0.005111111111111066,0.6810485370526682,-0.0019332393801650971,1.0,1.0,1.0
1.6,C_ADMM,6,0.00014033445554009655,-0.329292828361599,3.7271336389064407e-05,-0.07866666666666666,6.617503778405075e-05,-0.08084671262495866,0.0009823411887806758,0.00033544202750157966,0.000529400302272406
1.6,Static_Greedy,6,2.7463664662816595e-08,1.9034164447545308,1.2715904162240444e-07,0.29511111111111105,1.0390171113867378e-08,-0.5612502374314169,4.668822992678821e-07,2.28886274920328e-06,1.870230800496128e-07
1.6,OGD_Bandit,6,3.362177675093542e-06,1.4491118531006777,7.848515008099904e-05,0.24688888888888888,8.148130310267331e-06,-0.4664040199374314,4.7070487451309583e-05,0.0006278812006479923,0.0001059256940334753
